Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747382820,103603,103612,103585,103585,0.1451,15029.87,force_direct,,103582.83942108891
1747382880,103629,103630,103603,103603,0.006842,709.0,force_direct,,103624.6711487869
1747382940,103622,103629,103622,103629,0.01205,1248.96,force_direct,,103648.13278008299
1747383000,103571,103622,103571,103622,1.341,138862.21,force_direct,,103551.23788217748
1747383060,103560,103571,103558,103571,0.3322,34399.74,force_direct,,103551.29440096328
1747383120,103547,103560,103546,103560,0.6619,68539.4,force_direct,,103549.47877322856
1747383180,103557,103557,103546,103547,0.03324,3441.6,force_direct,,103537.90613718412
1747383240,103522,103557,103522,103557,1.285,133062.99,force_direct,,103550.96498054474
1747383300,103409,103522,103409,103522,5.032,520615.09,force_direct,,103460.86844197138
1747383360,103372,103409,103372,103409,1.554,160612.47,force_direct,,103354.2277992278
1747383420,103355,103375,103354,103372,0.5965,61655.38,force_direct,,103361.91114836546
1747383480,103356,103356,103355,103355,0.00047,48.58,force_direct,,103361.70212765958
1747383540,103423,103424,103356,103356,0.07124,7368.24,force_direct,,103428.41100505333
1747383600,103310,103423,103310,103423,1.719,177677.27,force_direct,,103360.83187899941
1747383660,103307,103310,103286,103310,1.056,109123.65,force_direct,,103336.78977272726
1747383720,103286,103307,103285,103307,0.3145,32479.16,force_direct,,103272.36883942767
1747383780,103248,103286,103248,103286,2.085,215335.4,force_direct,,103278.36930455636
1747383840,103173,103248,103137,103248,4.372,451090.03,force_direct,,103177.04254345837
1747383900,103166,103194,103165,103173,0.01182,1219.78,force_direct,,103196.27749576987
1747383960,103169,103186,103158,103166,0.2416,24926.11,force_direct,,103170.98509933775
1747384020,103260,103260,103167,103169,1.106,114133.12,force_direct,,103194.50271247738
1747384080,103233,103260,103219,103260,0.5012,51741.6,force_direct,,103235.43495610535
1747384140,103256,103256,103233,103233,0.01965,2028.67,force_direct,,103240.20356234096
1747384200,103320,103320,103256,103256,0.9346,96545.46,force_direct,,103301.36956986946
1747384260,103316,103326,103313,103320,0.01082,1117.43,force_direct,,103274.49168207025
1747384320,103319,103319,103296,103316,0.07114,7348.76,force_direct,,103299.97188642115
1747384380,103313,103335,103313,103319,0.004112,424.86,force_direct,,103321.98443579767
1747384440,103341,103341,103313,103313,0.007842,810.3,force_direct,,103328.23259372609
1747384500,103323,103342,103323,103341,0.08967,9265.94,force_direct,,103333.77941340471
1747384560,103344,103344,103319,103323,0.008265,854.03,force_direct,,103330.9134906231
1747384620,103290,103344,103290,103344,3.202,330821.71,force_direct,,103317.21111805123
1747384680,103220,103290,103220,103290,0.1968,20318.12,force_direct,,103242.47967479675
1747384740,103230,103242,103204,103220,0.003393,350.23,force_direct,,103221.33804892426
1747384800,103281,103281,103230,103230,0.000111,11.46,force_direct,,103243.24324324325
1747384860,103276,103281,103265,103281,0.01163,1200.98,force_direct,,103265.69217540843
1747384920,103346,103346,103257,103276,0.02202,2273.39,force_direct,,103242.05267938237
1747384980,103353,103365,103346,103346,0.00738,762.78,force_direct,,103357.72357723577
1747385040,103346,103353,103310,103353,0.006911,714.14,force_direct,,103333.81565620027
1747385100,103348,103379,103346,103346,0.1394,14404.38,force_direct,,103331.2769010043
1747385160,103320,103348,103320,103348,0.01214,1254.53,force_direct,,103338.55024711697
1747385220,103298,103320,103287,103320,0.7973,82358.45,force_direct,,103296.68882478365
1747385280,103329,103343,103298,103298,0.03391,3503.94,force_direct,,103330.5809495724
1747385340,103291,103329,103276,103329,0.08328,8603.13,force_direct,,103303.674351585
1747385400,103317,103317,103289,103291,0.004039,417.28,force_direct,,103312.70116365436
1747385460,103388,103388,103315,103317,0.003002,310.28,force_direct,,103357.76149233844
1747385520,103419,103419,103377,103388,0.0881,9110.2,force_direct,,103407.49148694666
1747385580,103459,103459,103419,103419,0.01665,1722.76,force_direct,,103469.06906906905
1747385640,103459,103459,103458,103459,4.975,514743.72,force_direct,,103466.0743718593
1747385700,103455,103459,103452,103459,0.02634,2724.81,force_direct,,103447.60820045558
1747385760,103434,103458,103431,103455,0.05838,6038.32,force_direct,,103431.31209318258
1747385820,103431,103452,103431,103434,0.0065,672.45,force_direct,,103453.84615384617
1747385880,103432,103440,103431,103431,0.009136,944.99,force_direct,,103435.85814360771
1747385940,103433,103438,103405,103432,0.02972,3073.74,force_direct,,103423.28398384925
1747386000,103454,103459,103433,103433,0.5088,52635.37,force_direct,,103450.01965408804
1747386060,103430,103459,103430,103454,0.3528,36492.33,force_direct,,103436.30952380953
1747386120,103484,103484,103430,103430,7.602,786473.3,force_direct,,103456.10365693239
1747386180,103484,103484,103483,103484,0.03264,3377.68,force_direct,,103482.8431372549
1747386240,103521,103521,103483,103484,2.377,245989.77,force_direct,,103487.49263777872
1747386300,103571,103571,103521,103521,1.694,175398.1,force_direct,,103540.79102715467
1747386360,103658,103658,103569,103571,3.392,351411.89,force_direct,,103600.20341981133
1747386420,103626,103658,103626,103658,0.95,98476.93,force_direct,,103659.92631578947
1747386480,103639,103639,103621,103626,0.0369,3823.42,force_direct,,103615.71815718157
1747386540,103655,103667,103638,103639,0.4519,46839.79,force_direct,,103650.78557202921
1747386600,103649,103664,103615,103655,0.4368,45273.57,force_direct,,103648.28296703297
1747386660,103657,103659,103649,103649,0.135,13993.41,force_direct,,103654.88888888888
1747386720,103670,103670,103655,103657,0.01746,1809.92,force_direct,,103660.93928980528
1747386780,103640,103670,103600,103670,0.9444,97873.34,force_direct,,103635.47225751799
1747386840,103658,103669,103640,103640,0.07214,7478.16,force_direct,,103661.7687829221
1747386900,103611,103658,103610,103658,0.6305,65355.6,force_direct,,103656.780333069
1747386960,103636,103640,103611,103611,0.06756,7001.38,force_direct,,103632.03078744821
1747387020,103631,103672,103631,103636,1.614,167285.64,force_direct,,103646.61710037175
1747387080,103631,103632,103631,103631,0.003222,333.9,force_direct,,103631.28491620111
1747387140,103653,103653,103631,103631,0.04301,4458.41,force_direct,,103659.84654731458
1747387200,103652,103653,103652,103653,0.003602,373.33,force_direct,,103645.19711271515
1747387260,103733,103733,103652,103652,2.145,222452.54,force_direct,,103707.47785547786
1747387320,103726,103733,103716,103733,0.00215,223.02,force_direct,,103730.23255813954
1747387380,103733,103733,103726,103726,0.05087,5276.28,force_direct,,103720.85708669157
1747387440,103733,103733,103733,103733,0.2599,26964.26,force_direct,,103748.59561369756
1747387500,103712,103733,103712,103733,0.5433,56357.88,force_direct,,103732.52346769739
1747387560,103757,103757,103712,103712,0.704,73032.72,force_direct,,103739.6590909091
1747387620,103770,103770,103756,103757,1.016,105406.51,force_direct,,103746.56496062991
1747387680,103748,103782,103748,103770,3.955,410395.29,force_direct,,103766.19216182048
1747387740,103730,103766,103730,103748,0.3536,36691.11,force_direct,,103764.45135746605
1747387800,103739,103766,103730,103730,1.464,151847.36,force_direct,,103720.87431693988
1747387860,103779,103782,103713,103739,0.08771,9100.32,force_direct,,103754.6459924752
1747387920,103760,103779,103759,103779,0.3674,38126.37,force_direct,,103773.46216657595
1747387980,103780,103782,103760,103760,0.4348,45123.73,force_direct,,103780.42778288868
1747388040,103747,103780,103746,103780,0.6551,67968.98,force_direct,,103753.59487101206
1747388100,103682,103747,103679,103747,0.06053,6279.32,force_direct,,103738.97241037502
1747388160,103659,103682,103649,103682,0.1705,17670.11,force_direct,,103637.00879765395
